id,problem,answerId,categoryId,proficiencyId,options,type,taskOrder
c3fc28f7-16a4-49d8-ab81-0fb4524067c2,Listen to the audio and repeat the phrase,5e8496cc-6717-4daf-a5a0-5e43968becfd,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,cb7818ad-ecdb-4192-9fcb-2a82857d2647,AUDIO,1
b5ca1aaf-1c43-462f-b31b-199a5e0541db,Listen to the audio and repeat the phrase,cacf5413-314d-46d4-b989-fe3742fa2196,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,c84ec2cc-397b-4d88-a36e-aae7d6d1fd42,AUDIO,2
97ef9787-b369-4fd2-9744-bd6eb7ec4460,Listen to the audio and repeat the phrase,316d4104-09a2-4683-a798-c4ce1d396e19,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,c57ebbae-513f-49a3-b8d0-553eefadb6a5,AUDIO,3
32a235cd-29ef-456a-9d3e-95584753fe64,"Select the best response in patois to ""Elo, Mass Joe""",cacf5413-314d-46d4-b989-fe3742fa2196,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,04be672b-388f-4bbe-9383-be880c64c0ac,AUDIO_OPTIONS,4
7555d672-1a1a-42c9-b1d4-80284431b8a0,Listen to the audio and repeat the phrase,3bd0d3a7-2894-4780-be42-812b101d3c7a,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,674d4228-6400-4108-8333-1324f2d183ae,AUDIO,5
43ba8f4b-89b4-4608-bd64-a2ef0ffababe,Listen to the audio and repeat the phrase,ec7f0f0a-650f-4380-906b-4308e73a77d2,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,aefc4ee4-36c1-49d0-b46c-dc7a2cd5faab,AUDIO,6
da15064e-d3da-4b5c-88cf-9999ff55b558,Select the best response to say in patois when you are going to bed,ec7f0f0a-650f-4380-906b-4308e73a77d2,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,ac911863-ee1d-49ee-9c4a-34bcd053067a,AUDIO_OPTIONS,7
7f006a18-0b53-41c5-a39e-61dca84f8fe5,Listen to the audio and repeat the phrase,e760d439-5a2b-4180-a6fb-59748d6a9f4a,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,b2ddf2e7-f77f-4c90-b7c8-e360ebf30f08,AUDIO,8
fc15e84a-e52d-4608-927a-c987fd350477,"Select the best pronunciation for ""What's up?"" in Jamaica patois",cacf5413-314d-46d4-b989-fe3742fa2196,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,04be672b-388f-4bbe-9383-be880c64c0ac,AUDIO_OPTIONS,1
1ad63c0f-088b-450e-87f9-b913d2267c3a,"Select the best pronunciation for ""Sorry"" in Jamaica patois",e760d439-5a2b-4180-a6fb-59748d6a9f4a,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,b533165f-5e78-4787-920e-ed988b230a8b,AUDIO_OPTIONS,1
8f1dc733-84d0-47db-ad19-793a9655bb62,Select the best response to the audio below:,a9a21bc6-0bf1-43c2-a42e-80d002f4129a,2d31b022-d095-4b3e-968a-3ecbf08921fc,7a08832d-3517-4fe9-9bdb-dac02091ba07,cf74725d-5a40-4448-b95e-f9049d067cb2,SOUND_OPTIONS,1
